model_key,model_label,interval,window_start,window_end,rows_all,rows_masked,accuracy_all_rows_pct,baseline_all_rows_pct,delta_all_rows_pp,accuracy_masked_pct,baseline_masked_pct,delta_masked_pp,predicted_up_ratio_all_rows_pct,actual_up_ratio_all_rows_pct
1h_pruned50_winner,1h pruned50 direction head,15m,2026-01-01 00:00:00,2026-04-08 23:45:00,9408,6677,52.79549319727891,50.11692176870748,2.67857142857143,53.31735809495283,50.20218661075333,3.115171484199497,54.8469387755102,49.883078231292515
5min_winner,5min native direction head,15m,2026-01-01 00:00:00,2026-04-08 23:45:00,9408,6677,53.039965986394556,50.11692176870748,2.9230442176870763,53.661824172532576,50.20218661075333,3.4596375617792496,47.07695578231292,49.883078231292515
1h_pruned50_winner,1h pruned50 direction head,1d,2026-01-01 00:00:00,2026-04-08 00:00:00,98,71,45.91836734693878,55.10204081632652,-9.183673469387749,43.66197183098591,54.92957746478873,-11.267605633802813,60.204081632653065,44.89795918367347
5min_winner,5min native direction head,1d,2026-01-01 00:00:00,2026-04-08 00:00:00,98,71,48.97959183673469,55.10204081632652,-6.122448979591832,47.88732394366197,54.92957746478873,-7.0422535211267565,44.89795918367347,44.89795918367347
1h_pruned50_winner,1h pruned50 direction head,1h,2026-01-01 00:00:00,2026-04-08 23:00:00,2352,1685,53.273809523809526,50.68027210884354,2.593537414965985,53.47181008902078,50.38575667655787,3.086053412462908,54.03911564625851,49.31972789115646
5min_winner,5min native direction head,1h,2026-01-01 00:00:00,2026-04-08 23:00:00,2352,1685,52.763605442176875,50.68027210884354,2.083333333333337,51.92878338278932,50.38575667655787,1.543026706231454,45.025510204081634,49.31972789115646
1h_pruned50_winner,1h pruned50 direction head,1m,2026-01-01 00:00:00,2026-04-08 23:59:00,141120,101089,51.50297619047619,51.167800453514744,0.3351757369614461,51.30033930496889,50.19932930388074,1.101010001088154,45.37627551020408,48.83219954648526
5min_winner,5min native direction head,1m,2026-01-01 00:00:00,2026-04-08 23:59:00,141120,101089,51.485969387755105,51.167800453514744,0.3181689342403593,51.21229807397442,50.19932930388074,1.0129687700936807,40.8156179138322,48.83219954648526
1h_pruned50_winner,1h pruned50 direction head,4h,2026-01-01 00:00:00,2026-04-08 20:00:00,588,419,51.19047619047619,50.17006802721089,1.0204081632652962,49.40334128878281,51.551312649164686,-2.1479713603818675,57.82312925170068,49.82993197278912
5min_winner,5min native direction head,4h,2026-01-01 00:00:00,2026-04-08 20:00:00,588,419,50.85034013605442,50.17006802721089,0.6802721088435271,49.64200477326969,51.551312649164686,-1.9093078758949944,54.761904761904766,49.82993197278912
