variant_label,rows,accuracy_pct,baseline_pct,delta_vs_baseline_pp,total_pnl_1btc_usdt,compounded_return_pct_from_1.0,predicted_up_ratio_pct,actual_up_ratio_pct,bias_gap_pp
Dense,1498,52.80373831775701,50.73431241655542,2.0694259012015936,-2726.829999999849,-7.233493699679516,65.086782376502,49.26568758344459,15.821094793057412
Pruned 25%,1498,53.13751668891856,50.73431241655542,2.4032042723631464,-516.7299999997849,-4.021413079512081,62.082777036048064,49.26568758344459,12.817089452603476
Pruned 50%,1498,53.67156208277704,50.73431241655542,2.9372496662216196,6069.510000000191,4.307192480248001,57.009345794392516,49.26568758344459,7.7436582109479275
Pruned 75%,1498,51.4018691588785,50.73431241655542,0.6675567423230833,-2936.2699999997785,-5.447307003834312,66.88918558077437,49.26568758344459,17.62349799732978
