model_name,source,objective_mode,predictor_lr,train_last_n,ce_weight,rows,range_start,range_end,accuracy_pct,baseline_pct,delta_vs_baseline_pp,total_pnl_usdt,compounded_return_pct,predicted_up_ratio_pct,actual_up_ratio_pct,bias_gap_pp
cons_only_lr3e6_last6_adapter,screen,consecutive_path_only,3e-06,6,0.0,72,2026-01-01 00:00:00,2026-03-13 00:00:00,62.5,55.55555555555556,6.944444444444443,25245.059999999954,37.91661390269658,56.94444444444444,44.44444444444444,12.5
cons_only_lr3e6_last4_adapter,screen,consecutive_path_only,3e-06,4,0.0,72,2026-01-01 00:00:00,2026-03-13 00:00:00,45.83333333333333,55.55555555555556,-9.722222222222229,-270.69999999992433,-3.360855804125873,51.388888888888886,44.44444444444444,6.944444444444443
cons_only_lr2e6_last4_adapter,screen,consecutive_path_only,2e-06,4,0.0,72,2026-01-01 00:00:00,2026-03-13 00:00:00,45.83333333333333,55.55555555555556,-9.722222222222229,-3789.8599999998987,-10.622299175204397,51.388888888888886,44.44444444444444,6.944444444444443
final_cons_hybrid_lr3e6_last4_adapter,final,consecutive_path,3e-06,4,0.25,72,2026-01-01 00:00:00,2026-03-13 00:00:00,47.22222222222222,55.55555555555556,-8.333333333333336,-10123.339999999982,-11.95067886605672,69.44444444444444,44.44444444444444,25.0
cons_hybrid_lr3e6_last4_adapter,screen,consecutive_path,3e-06,4,0.25,72,2026-01-01 00:00:00,2026-03-13 00:00:00,43.05555555555556,55.55555555555556,-12.5,-21829.88000000002,-23.70840608547613,70.83333333333334,44.44444444444444,26.3888888888889
