window_end,rows,path_accuracy_pct,baseline_pct,notes,delta_vs_baseline_pp
2026-03-13,72,62.5,55.55555555555556,Original screening report,6.944444444444443
2026-03-16,75,62.66666666666667,53.333333333333336,Conference extension,9.333333333333336
2026-03-29,88,57.95454545454546,56.81818181818181,Later March refresh,1.1363636363636473
