timestamp,pred_dir,label,mask,close,next_close,pnl_usdt_1btc,cumulative_pnl_usdt_1btc
2026-01-01 00:00:00,1,1.0,1.0,87809.23,87960.0,150.77000000000407,150.77000000000407
2026-01-01 01:00:00,0,0.0,0.0,87960.0,87914.0,46.0,196.77000000000407
2026-01-01 02:00:00,1,0.0,0.0,87914.0,87846.02,-67.97999999999593,128.79000000000815
2026-01-01 03:00:00,1,0.0,1.0,87846.02,87590.4,-255.6200000000099,-126.83000000000175
2026-01-01 04:00:00,1,1.0,1.0,87590.4,87704.39,113.99000000000524,-12.839999999996508
2026-01-01 05:00:00,1,0.0,0.0,87704.39,87658.0,-46.38999999999942,-59.229999999995925
2026-01-01 06:00:00,1,0.0,0.0,87658.0,87631.88,-26.119999999995343,-85.34999999999127
2026-01-01 07:00:00,1,1.0,1.0,87631.88,87770.9,139.01999999998952,53.669999999998254
2026-01-01 08:00:00,0,1.0,1.0,87770.9,87877.99,-107.09000000001106,-53.420000000012806
2026-01-01 09:00:00,0,0.0,0.0,87877.99,87863.76,14.230000000010477,-39.19000000000233
2026-01-01 10:00:00,1,1.0,1.0,87863.76,88024.64,160.88000000000466,121.69000000000233
2026-01-01 11:00:00,0,0.0,1.0,88024.64,87950.0,74.63999999999942,196.33000000000175
2026-01-01 12:00:00,1,0.0,0.0,87950.0,87922.64,-27.360000000000582,168.97000000000116
2026-01-01 13:00:00,1,1.0,0.0,87922.64,87967.05,44.41000000000349,213.38000000000466
2026-01-01 14:00:00,0,1.0,0.0,87967.05,88032.18,-65.1299999999901,148.25000000001455
2026-01-01 15:00:00,0,0.0,0.0,88032.18,87988.76,43.419999999998254,191.6700000000128
2026-01-01 16:00:00,1,1.0,1.0,87988.76,88316.37,327.6100000000006,519.2800000000134
2026-01-01 17:00:00,0,0.0,1.0,88316.37,88193.94,122.42999999999302,641.7100000000064
2026-01-01 18:00:00,1,1.0,1.0,88193.94,88391.15,197.20999999999185,838.9199999999983
2026-01-01 19:00:00,0,0.0,1.0,88391.15,88258.12,133.02999999999884,971.9499999999971
2026-01-01 20:00:00,1,1.0,1.0,88258.12,88377.67,119.55000000000291,1091.5
2026-01-01 21:00:00,0,1.0,1.0,88377.67,88645.57,-267.90000000000873,823.5999999999913
2026-01-01 22:00:00,0,1.0,1.0,88645.57,88839.04,-193.4699999999866,630.1300000000047
2026-01-01 23:00:00,0,0.0,0.0,88839.04,88833.97,5.069999999992433,635.1999999999971
2026-01-02 00:00:00,0,0.0,1.0,88833.97,88639.89,194.08000000000175,829.2799999999988
2026-01-02 01:00:00,1,0.0,0.0,88639.89,88637.03,-2.860000000000582,826.4199999999983
2026-01-02 02:00:00,1,1.0,1.0,88637.03,88950.65,313.61999999999534,1140.0399999999936
2026-01-02 03:00:00,0,0.0,1.0,88950.65,88637.64,313.00999999999476,1453.0499999999884
2026-01-02 04:00:00,1,1.0,1.0,88637.64,88765.2,127.55999999999767,1580.609999999986
2026-01-02 05:00:00,0,1.0,1.0,88765.2,88935.04,-169.8399999999965,1410.7699999999895
2026-01-02 06:00:00,0,0.0,1.0,88935.04,88857.61,77.42999999999302,1488.1999999999825
2026-01-02 07:00:00,0,1.0,1.0,88857.61,89178.13,-320.5200000000041,1167.6799999999785
2026-01-02 08:00:00,0,1.0,1.0,89178.13,89467.32,-289.1900000000023,878.4899999999761
2026-01-02 09:00:00,0,1.0,1.0,89467.32,89666.29,-198.9699999999866,679.5199999999895
2026-01-02 10:00:00,0,0.0,1.0,89666.29,89502.95,163.3399999999965,842.859999999986
2026-01-02 11:00:00,0,0.0,1.0,89502.95,89400.0,102.94999999999709,945.8099999999831
2026-01-02 12:00:00,0,0.0,0.0,89400.0,89348.68,51.320000000006985,997.1299999999901
2026-01-02 13:00:00,1,1.0,1.0,89348.68,89580.0,231.32000000000698,1228.449999999997
2026-01-02 14:00:00,0,0.0,1.0,89580.0,89418.11,161.88999999999942,1390.3399999999965
2026-01-02 15:00:00,1,1.0,1.0,89418.11,90376.05,957.9400000000023,2348.279999999999
2026-01-02 16:00:00,0,0.0,0.0,90376.05,90370.52,5.529999999998836,2353.8099999999977
2026-01-02 17:00:00,1,0.0,1.0,90370.52,89773.1,-597.4199999999983,1756.3899999999994
2026-01-02 18:00:00,1,1.0,1.0,89773.1,89897.23,124.1299999999901,1880.5199999999895
2026-01-02 19:00:00,0,0.0,1.0,89897.23,89740.0,157.22999999999593,2037.7499999999854
2026-01-02 20:00:00,1,1.0,1.0,89740.0,90065.8,325.8000000000029,2363.5499999999884
2026-01-02 21:00:00,0,1.0,1.0,90065.8,90195.37,-129.56999999999243,2233.979999999996
2026-01-02 22:00:00,0,0.0,1.0,90195.37,89995.13,200.2399999999907,2434.2199999999866
2026-01-02 23:00:00,1,1.0,1.0,89995.13,90156.19,161.05999999999767,2595.2799999999843
2026-01-03 00:00:00,0,1.0,1.0,90156.19,90282.69,-126.5,2468.7799999999843
2026-01-03 01:00:00,0,1.0,0.0,90282.69,90340.0,-57.30999999999767,2411.4699999999866
2026-01-03 02:00:00,0,0.0,0.0,90340.0,90321.22,18.779999999998836,2430.2499999999854
2026-01-03 03:00:00,0,0.0,1.0,90321.22,90170.0,151.22000000000116,2581.4699999999866
2026-01-03 04:00:00,1,0.0,1.0,90170.0,90031.1,-138.89999999999418,2442.5699999999924
2026-01-03 05:00:00,1,0.0,1.0,90031.1,89871.05,-160.0500000000029,2282.5199999999895
2026-01-03 06:00:00,1,0.0,1.0,89871.05,89577.13,-293.91999999999825,1988.5999999999913
2026-01-03 07:00:00,1,1.0,1.0,89577.13,89670.51,93.3799999999901,2081.9799999999814
2026-01-03 08:00:00,1,1.0,1.0,89670.51,89791.99,121.48000000001048,2203.459999999992
2026-01-03 09:00:00,0,0.0,0.0,89791.99,89754.47,37.520000000004075,2240.979999999996
2026-01-03 10:00:00,1,0.0,0.0,89754.47,89752.74,-1.7299999999959255,2239.25
2026-01-03 11:00:00,0,1.0,1.0,89752.74,90039.13,-286.3899999999994,1952.8600000000006
